model_id,repository_url,file_path,num_components,num_connections,generic_domain_labels,specific_domain_labels
6UCubeSat_Decision_Module_Decision_Module_2_Controller_Impl_1.aaxl2,https://github.com/AFRL-VVCAS/6UCubeSat.git,6UCubeSat/RTA%20CubeSat%20Models/AGREE_CubeSat_4Wheel_RTA/Decision_Module.aadl,16,16,AVIATION,SATELLITE
6UCubeSat_RTA_Controller_RTA_Controller_Impl_1.aaxl2,https://github.com/AFRL-VVCAS/6UCubeSat.git,6UCubeSat/RTA%20CubeSat%20Models/AGREE_CubeSat_4Wheel_RTA/RTA_Controller.aadl,46,64,AVIATION,SATELLITE
6UCubeSat_Rate_Limited_PID_Controller_Rate_Limited_PID_Controller_Impl_1.aaxl2,https://github.com/AFRL-VVCAS/6UCubeSat.git,6UCubeSat/Basic%20CubeSat%20Models/AGREE_6UCubeSat_Rate_Limited_PID_Verification/Rate_Limited_Controller.aadl,8,8,AVIATION,SATELLITE
6UCubeSat_Unverified_Controller_PID_controller_not_rate_limited_package_Impl_1.aaxl2,https://github.com/AFRL-VVCAS/6UCubeSat.git,6UCubeSat/RTA%20CubeSat%20Models/AGREE_CubeSat_4Wheel_RTA/Unverified_Controller.aadl,8,8,AVIATION,SATELLITE
6UCubeSat_Verified_Controller_Rate_Limited_PID_Controller_Impl_1.aaxl2,https://github.com/AFRL-VVCAS/6UCubeSat.git,6UCubeSat/RTA%20CubeSat%20Models/AGREE_CubeSat_4Wheel_RTA/Verified_Controller.aadl,8,8,AVIATION,SATELLITE
890-isolette_KSU_Isolette_isolette_dual_sensor_1.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-02/packages/Isolette.aadl,1,0,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_10.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-09/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_11.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-07/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_2.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-10/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_3.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-01/packages/Isolette.aadl,1,0,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_4.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-05/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_5.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-06/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_6.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-03/packages/Isolette.aadl,1,0,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_7.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-08/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_8.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-04/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_dual_sensor_9.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-11/packages/Isolette.aadl,1,1,SMART_BUILDING,THERMOSTAT_DUAL_SENSOR
890-isolette_KSU_Isolette_isolette_single_sensor_1.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-02/packages/Isolette.aadl,2,0,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_isolette_single_sensor_2.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-01/packages/Isolette.aadl,1,0,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_isolette_single_sensor_3.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-05/packages/Isolette.aadl,10,4,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_isolette_single_sensor_4.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-03/packages/Isolette.aadl,6,0,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_isolette_single_sensor_5.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-04/packages/Isolette.aadl,10,4,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_operator_interface_impl_1.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-10/packages/Isolette.aadl,22,21,SMART_BUILDING,THERMOSTAT_OPERATOR
890-isolette_KSU_Isolette_operator_interface_impl_2.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-11/packages/Isolette.aadl,22,21,SMART_BUILDING,THERMOSTAT_OPERATOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_1.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-02/packages/Isolette.aadl,1,0,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_2.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-05/packages/Isolette.aadl,3,3,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_3.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-06/packages/Isolette.aadl,3,3,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_4.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-03/packages/Isolette.aadl,1,0,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_5.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-08/packages/Isolette.aadl,3,3,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_6.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-04/packages/Isolette.aadl,3,3,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_7.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-09/packages/Isolette.aadl,19,15,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_8.aaxl2,https://github.com/scbarrett/890-isolette.git,890-isolette/isolette-ksu-07/packages/Isolette.aadl,3,3,SMART_BUILDING,THERMOSTAT_SINGLE_SENSOR
